address	routine	page

0C55 	Test for scroll 	40
0CF8 	'scroll?' message 	42
0D4D 	Temporary colour items 	43
0D6B 	CLS command 	43
0DAF 	Clearing the whole display area	44
0DD9 	CL-SET   	45
0DFE 	Scrolling 	45
0E44 	Clear lines 	46
0E88 	CL-ATTR  	48
0E9B 	CL-ADDR  	48
0EAC 	COPY command 	48
0ECD 	COPY-BUFF 	49
0EF4 	COPY-LINE 	49
0F2C 	EDITOR   	50
0F81 	ADD-CHAR 	51
0FA0 	Editing keys table 	52
0FA9 	EDIT key 	52
0FF3 	Cursor down editing 	53
1007 	Cursor left editing 	53
100C 	Cursor right editing 	53
1015 	DELETE editing 	53
101E 	ED-IGNORE 	53
1024 	ENTER editing 	53
1031 	ED-EDGE  	53
1059 	Cursor up editing 	54
1076 	ED-SYMBOL 	54
107F 	ED-ERROR 	54
1097 	CLEAR-SP 	55
10A8 	Keyboard input 	55
111D	Lower screen copying 	56
1190 	SET-HL   	57
11A7 	REMOVE-FP 	58

THE EXECUTIVE ROUTINES
11B7 	NEW command 	59
11CB 	Main entry (Initialisation) 	59
11DA 	RAM-CHECK 	59
12A2 	Main execution loop 	61
1391 	Report messages 	63
155D 	MAIN-ADD 	64
15AF 	Initial channel information 	65
15C6 	Initial stream data 	65
15D4 	WAIT-KEY 	65
15E6 	INPUT-AD 	66
15EF 	Main printing 	66
1601 	CHAN-OPEN 	66
1615 	CHAN-FLAG 	67
162D 	Channel code look -up table 	67
1634 	Channel K flag 	67
1642 	Channel S flag 	67
164D 	Channel P flag 	67
1652 	ONE-SPACE 	67
1655 	MAKE-ROOM 	67
1664 	POINTERS 	68
168F 	Collect a line number 	69
169E 	RESERVE  	69
16B0 	SET-MIN  	69
16D4 	Reclaim the edit-line 	70
16DB 	INDEXER  	70
16E5 	CLOSE # commend 	70
